Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
11-Jan-21,EQ,"1,062.10","1,081.55","1,040.50","1,051.10","1,076.80","1,077.60","1,060.93","1,081.55",471.4,"64,88,791","6,88,41,69,694.90","1,28,412"
08-Jan-21,EQ,"1,007.75","1,060.00","1,005.45",994.75,"1,048.00","1,051.10","1,038.55","1,060.00",471.4,"92,79,370","9,63,70,82,636.30","1,39,872"
07-Jan-21,EQ,"1,005.50","1,010.00",988.6,997.15,996.8,994.75,998.95,"1,026.00",471.4,"33,54,950","3,35,14,43,446.35","75,721"
06-Jan-21,EQ,"1,004.00","1,026.00",983.35,"1,003.85",996,997.15,"1,007.08","1,026.00",471.4,"46,77,359","4,71,04,74,327.25","96,635"
05-Jan-21,EQ,"1,002.50","1,007.95",991.3,"1,001.95","1,002.55","1,003.85","1,001.04","1,007.95",471.4,"40,40,321","4,04,45,12,482.80","93,354"
04-Jan-21,EQ,980.6,"1,005.00",975,977.95,"1,003.00","1,001.95",992.57,"1,005.00",471.4,"35,15,825","3,48,97,16,504.55","60,632"
01-Jan-21,EQ,976,981.2,971.2,973.2,975.95,977.95,977.58,986.4,471.4,"12,68,291","1,23,98,55,419.60","32,808"
31-Dec-20,EQ,981.95,986.4,968.7,983.25,974,973.2,974.92,986.4,471.4,"28,59,399","2,78,76,76,310.85","48,531"
30-Dec-20,EQ,970,985,967.8,965.65,980.95,983.25,977.94,985,471.4,"63,89,605","6,24,86,55,831.20","1,04,717"
29-Dec-20,EQ,948,968.25,943.85,947.1,967.8,965.65,962.1,968.25,471.4,"43,92,641","4,22,61,75,177.40","92,790"
28-Dec-20,EQ,947.25,956.45,944.25,947.25,947.4,947.1,950.74,959.75,471.4,"18,70,669","1,77,85,18,741.85","46,532"
24-Dec-20,EQ,951,956,934.8,948.15,945,947.25,945.85,959.75,471.4,"25,10,775","2,37,48,13,785.60","57,183"
23-Dec-20,EQ,946.55,959.75,941,944.65,946.8,948.15,950.44,959.75,471.4,"54,56,681","5,18,62,58,102.10","98,384"
22-Dec-20,EQ,910,948.9,903.2,906.85,944,944.65,928.17,950.85,471.4,"55,37,682","5,13,99,15,592.95","1,21,987"
21-Dec-20,EQ,928.15,944.65,890,933.8,903,906.85,927.3,950.85,471.4,"41,87,948","3,88,34,80,383.60","92,317"
18-Dec-20,EQ,935,947,928.3,930.1,932,933.8,935.59,950.85,471.4,"55,63,979","5,20,55,77,329.65","94,939"
17-Dec-20,EQ,921.55,932.75,912.4,921.55,926.7,930.1,924.76,950.85,471.4,"27,06,570","2,50,29,29,069.35","57,654"
16-Dec-20,EQ,935,935,917,927.05,921.45,921.55,921.73,950.85,471.4,"27,99,394","2,58,02,91,918.30","64,740"
15-Dec-20,EQ,900.35,928.65,898.45,909.4,927.2,927.05,916.02,950.85,471.4,"34,90,143","3,19,70,29,550.70","92,018"
14-Dec-20,EQ,924,924.25,906.05,919.4,908.4,909.4,910.19,950.85,471.4,"32,39,051","2,94,81,63,469.90","1,34,811"
11-Dec-20,EQ,922.2,931,916.45,927.3,919.2,919.4,924.26,950.85,471.4,"23,98,423","2,21,67,75,385.60","87,239"
